run,red_n0,green_n0,blue_n0,red_n1,green_n1,blue_n1,red_n2,green_n2,blue_n2,red_n3,green_n3,blue_n3,red_n4,green_n4,blue_n4,red_n5,green_n5,blue_n5,red_n6,green_n6,blue_n6,red_n7,green_n7,blue_n7,red_n8,green_n8,blue_n8
116,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0
142,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0
148,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
150,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,3
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,1,4
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5,2,5
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,2,5
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5,3,5
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5,3,6
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5,2,6
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,2,6
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
196,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
198,0,0,1,0,1,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
200,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
202,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0
204,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0
206,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0
208,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0
210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0
212,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,0,1,0,0,0,3,0,0
214,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
216,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0
218,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,3,0,0
220,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,4,0,0,0,0,0,2,0,0
222,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,1,4,0,0,0,0,0,2,0,0
224,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,1,4,0,0,0,0,0,2,0,0
226,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,0
228,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0
230,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0
232,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,5,0,0,0,0,0,1,0,0
234,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,5,0,0,0,0,1,1,1,0
236,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,1,1,0,0
238,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0
240,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0
242,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2,0,6,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,3,0,5,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,5,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,5,0,1,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,3,0,5,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,4,0,5,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,1,0,4,0,1,4,0,0,5,0,5,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,1,0,3,0,1,3,0,0,4,0,5,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,3,0,5,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,1,0,2,1,2,2,0,0,4,0,5,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,1,0,3,1,2,2,1,0,5,0,5,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,1,0,2,1,1,2,1,0,4,0,5,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,4,0,5,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,1,0,2,1,2,1,1,0,5,0,5,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,5,0,5,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,0,5,0,5,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,0,5,0,5,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,5,0,5,0,0,0,0,0,1,0,0
282,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,4,0,5,0,0,0,0,0,1,0,0
284,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,5,0,0,0,0,0,1,0,0
286,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,5,0,0,0,0,0,1,0,0
288,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,5,0,0,0,0,1,2,0,0
290,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,5,0,0,0,0,2,2,0,0
292,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,5,0,0,0,0,2,3,0,0
294,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,2,4,0,0
296,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,4,0,0
298,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,4,0,0
